DATE	PRECI	MINTEMP	MAXTEMP	AVETEMP	TDEWMIN	TDEWMAX	AVETDEW	MINRELHUM	MAXRELHUM	AVERELHUM	CLOUD	PRESSURE	AVEWINDD	AVEWINDS	EVAP	RADIATION	SUNTIME
2009-01-01	0	-3.6	7.3	1.1	-10.8	-4.4	-6.9	39	69	50.2	0	1025.7	316	1.9	NA	2.1	3.2
2009-01-02	0	-4.9	7.4	0.4	-5.3	4.2	-0.7	62	96	81.4	4.7	1025.3	126	0.8	NA	1	0.2
2009-01-03	13	4.3	8.4	6.2	4.4	8.2	6.6	77	99	96	7	1020.2	120	1	NA	0.3	0
2009-01-04	22.6	6.8	9.9	7.8	6.7	9.3	7.9	99	99	99	7	1016.3	117	1.2	NA	1	0.6
2009-01-05	27	7.2	12.1	8.7	7.1	10	8.4	86	99	98.3	7	1014.2	116	1.1	NA	1.1	0.5
2009-01-06	25.8	5.3	11.2	7.8	4.8	10.8	6.8	94	99	98.8	6.9	1011.1	24	1.7	NA	0.6	0.1
2009-01-07	32	4	9.4	6.1	2.5	6.6	5.1	82	99	95.9	2	1017.6	306	1.7	NA	2.2	3.2
2009-01-08	0.2	1.5	8.8	4.4	0.9	5.5	3.1	75	99	94	2.2	1023.6	324	1.7	NA	2.3	3
2009-01-09	0	0.9	11.7	5.1	1.1	4.8	2.9	61	99	86.5	3.5	1026.3	252	1.2	NA	2	3
2009-01-10	0	0.9	13.2	5.3	1.1	6	3.2	52	99	87.4	5.1	1024.4	146	0.9	NA	1.6	1.4
2009-01-11	0.2	1.6	8.3	4.8	-2.4	4.2	1	65	99	85.4	0	1025.6	313	2.2	NA	2.4	3.2
2009-01-12	0	-1.4	12.3	3.7	-1.9	5.1	1.4	59	98	81	4.3	1031.3	156	0.9	NA	1.5	1.2
2009-01-13	0	-2.4	12.9	3.2	-2.4	4.5	0.3	41	99	85.1	2.7	1032.2	139	0.9	NA	2	3
2009-01-14	0.2	0.8	11.2	7.2	-8.4	7.2	0.1	25	97	68.8	5.8	1026.6	111	1.4	NA	0.7	0
2009-01-15	0.2	3.9	15.3	9.7	2.6	7.4	4.5	25	93	62.7	3.5	1024.6	121	1.6	NA	2.3	3.2
2009-01-16	0.2	6.7	10.2	8.8	-0.9	9	6.2	46	99	85.5	6.8	1017.9	108	1.9	NA	0.1	0
2009-01-17	36.2	4.6	11.7	7.5	1.8	9.4	5.2	69	99	92.7	3.1	1018.8	313	1.3	NA	2.3	2.6
2009-01-18	0	-0.9	9.8	4	-2	3.9	0.7	56	99	84.4	1.2	1022.9	322	2.1	NA	2.6	3.5
2009-01-19	0	-0.2	11.9	4.6	-0.3	7.1	3.1	56	99	83.8	4.6	1020.2	133	0.9	NA	1.5	0.8
2009-01-20	0.2	-1.5	13.6	5.2	-1.5	7.1	3.5	58	99	87.4	4.8	1020.2	131	0.9	NA	1.6	0.5
2009-01-21	0	6.6	12.5	9.1	4.4	8.7	7.2	66	99	87.2	6.2	1020.4	117	1.5	NA	1.3	0.3
2009-01-22	0	7.1	15.2	10.7	4.8	8.3	6.4	50	95	77.5	1.6	1018.1	120	2	NA	2.6	4
2009-01-23	0	7.2	14	10.3	-0.9	9.3	5.5	32	99	72.9	6.8	1004.3	150	3.4	NA	0.7	0.2
2009-01-24	37	6.9	10	8.6	6.9	9	8.2	88	99	97.5	7	1002.1	144	2.5	NA	0.9	0.2
2009-01-25	9.4	7.4	12	10	7.2	11.6	9.8	99	99	99	6.9	1004.4	137	2.2	NA	0.4	0
2009-01-26	46	5.6	13	8.5	5.5	10	7.7	76	99	96.5	6.5	1011.4	128	1.7	NA	1.7	1.8
2009-01-27	5.6	5.2	13.1	8.4	5.4	10.1	7.7	67	99	92.5	6.2	1017.9	128	1.4	NA	1.6	1
2009-01-28	0	6.9	10.5	9.1	3.1	8.8	7.1	76	99	93.7	7	1008.9	99	2.3	NA	0.2	0
2009-01-29	41	2	9	5.6	2.1	6.7	4.5	83	99	95	7	1007.8	111	1.2	NA	1.1	0.2
